name,qty_ordered,order_id,store_id
POP Dark Chocolate + Coffee CollaBARation Bar,1.0,308,2.0
Wholesale Mexican-Style Sipping Chocolate 170g Tin,6.0,308,2.0
POP Dark Chocolate + Coconut Sugar & Toasted Coconut CollaBARation Bar,1.0,317,2.0
POP Dark Chocolate + Coffee CollaBARation Bar,1.0,317,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,1.0,317,2.0
POP - Davao Bars,4.0,318,2.0
POP Dark Chocolate + Coconut Sugar & Toasted Coconut CollaBARation Bar,1.0,319,2.0
POP - Dark Chocolate + Peanut Butter Bars,1.0,319,2.0
Chocolate Tasting Kit,6.0,319,2.0
Wholesale Mexican-Style Sipping Chocolate 170g Tin,6.0,335,2.0
Chocolate Tasting Kit,6.0,335,2.0
Wholesale Itty Bar Refill,1.0,335,2.0
"POP - Cort̩és, Honduras Bars",1.0,339,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,339,2.0
POP - Davao White Chocolate Pistachio Bars,1.0,340,2.0
POP Dark Milk Chocolate + Black Licorice CollaBARation Bar,1.0,340,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,1.0,341,2.0
POP Dark Milk Chocolate + Black Licorice CollaBARation Bar,1.0,341,2.0
POP - Davao White Chocolate Nibble Bars,1.0,341,2.0
POP - Davao White Chocolate Pistachio Bars,1.0,341,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,343,2.0
Wholesale Itty Bar Refill,1.0,343,2.0
Wholesale Itty Bar Refill,1.0,344,2.0
POP Dark Chocolate + Coconut Sugar & Toasted Coconut CollaBARation Bar,1.0,344,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,1.0,344,2.0
Chocolate Tasting Kit,4.0,344,2.0
Wholesale Itty Bar Refill,1.0,358,2.0
POP Dark Chocolate + Coffee CollaBARation Bar,1.0,358,2.0
POP - Davao White Chocolate Bars	,1.0,358,2.0
POP - Del Tambo Nibble Bars,1.0,358,2.0
CASE - Askinosie Chocolate Hazelnut Spread,1.0,358,2.0
Delivery Fee,1.0,358,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,359,2.0
"POP - Cort̩és, Honduras Bars",1.0,359,2.0
POP - Del Tambo Bars,1.0,359,2.0
POP - Del Tambo Nibble Bars,1.0,359,2.0
POP - Tanzania Bars,1.0,359,2.0
POP - Davao Bars,1.0,359,2.0
POP - Dark Chocolate + Peanut Butter Bars,1.0,359,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,1.0,359,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,1.0,359,2.0
POP Dark Chocolate + Crunchy Sugar Crystals and Vanilla Bean,1.0,359,2.0
POP Dark Milk Chocolate + Black Licorice CollaBARation Bar,1.0,359,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,4.0,377,2.0
POP - Tanzania Bars,3.0,377,2.0
POP - Dark Chocolate + Peanut Butter Bars,1.0,378,2.0
Chocolate Tasting Kit,10.0,378,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,1.0,380,2.0
POP Dark Milk Chocolate + Black Licorice CollaBARation Bar,1.0,380,2.0
POP - Davao Bars,1.0,380,2.0
POP - Del Tambo Bars,1.0,380,2.0
POP - Del Tambo Nibble Bars,1.0,380,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,380,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,1.0,380,2.0
POP Dark Chocolate + Coffee CollaBARation Bar,1.0,380,2.0
CASE - Askinosie Chocolate Hazelnut Spread,1.0,384,2.0
POP Dark Milk Chocolate + Black Licorice CollaBARation Bar,1.0,384,2.0
Wholesale Mexican-Style Sipping Chocolate 170g Tin,12.0,384,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,1.0,384,2.0
POP - Davao Bars,1.0,385,2.0
POP - Tanzania Bars,1.0,385,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,385,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,1.0,385,2.0
POP Dark Chocolate + Coffee CollaBARation Bar,1.0,385,2.0
